INFO:root:Epoch[0] Batch [12250-12500]	Speed: 160.41 samples/sec	accuracy=0.022125	top_k_accuracy_5=0.054750
INFO:root:Epoch[0] Batch [12500-12750]	Speed: 168.35 samples/sec	accuracy=0.019250	top_k_accuracy_5=0.053750
INFO:root:Epoch[0] Batch [12750-13000]	Speed: 157.97 samples/sec	accuracy=0.021125	top_k_accuracy_5=0.058250
INFO:root:Epoch[0] Batch [13000-13250]	Speed: 159.67 samples/sec	accuracy=0.023125	top_k_accuracy_5=0.061375
INFO:root:Epoch[0] Batch [13250-13500]	Speed: 166.41 samples/sec	accuracy=0.020000	top_k_accuracy_5=0.056875
INFO:root:Epoch[0] Batch [13500-13750]	Speed: 161.76 samples/sec	accuracy=0.019250	top_k_accuracy_5=0.057625
INFO:root:Epoch[0] Batch [13750-14000]	Speed: 159.85 samples/sec	accuracy=0.021375	top_k_accuracy_5=0.063500
INFO:root:Epoch[0] Train-accuracy=0.018288
INFO:root:Epoch[0] Train-top_k_accuracy_5=0.035120
INFO:root:Epoch[0] Time cost=2660.393
INFO:root:Saved checkpoint to "/media3/kaggle/humpback_whale_identification/models/hwi-0001.params"
INFO:root:Epoch[0] Validation-accuracy=0.023190
INFO:root:Epoch[0] Validation-top_k_accuracy_5=0.093120
INFO:root:Epoch[1] Batch [0-250]	Speed: 170.00 samples/sec	accuracy=0.019173	top_k_accuracy_5=0.059263
INFO:root:Epoch[1] Batch [250-500]	Speed: 164.83 samples/sec	accuracy=0.020375	top_k_accuracy_5=0.064875
INFO:root:Epoch[1] Batch [500-750]	Speed: 161.33 samples/sec	accuracy=0.019250	top_k_accuracy_5=0.070500
INFO:root:Epoch[1] Batch [750-1000]	Speed: 154.38 samples/sec	accuracy=0.022750	top_k_accuracy_5=0.069000
INFO:root:Epoch[1] Batch [1000-1250]	Speed: 163.04 samples/sec	accuracy=0.020375	top_k_accuracy_5=0.075875
INFO:root:Epoch[1] Batch [1250-1500]	Speed: 164.31 samples/sec	accuracy=0.019375	top_k_accuracy_5=0.076750
INFO:root:Epoch[1] Batch [1500-1750]	Speed: 172.55 samples/sec	accuracy=0.021125	top_k_accuracy_5=0.071500
INFO:root:Epoch[1] Batch [1750-2000]	Speed: 172.86 samples/sec	accuracy=0.022625	top_k_accuracy_5=0.080125
INFO:root:Epoch[1] Batch [2000-2250]	Speed: 172.91 samples/sec	accuracy=0.024125	top_k_accuracy_5=0.082500
INFO:root:Epoch[1] Batch [2250-2500]	Speed: 172.90 samples/sec	accuracy=0.027375	top_k_accuracy_5=0.082375
INFO:root:Epoch[1] Batch [2500-2750]	Speed: 172.90 samples/sec	accuracy=0.027500	top_k_accuracy_5=0.088875
INFO:root:Epoch[1] Batch [2750-3000]	Speed: 172.90 samples/sec	accuracy=0.025125	top_k_accuracy_5=0.085125
INFO:root:Epoch[1] Batch [3000-3250]	Speed: 172.67 samples/sec	accuracy=0.024125	top_k_accuracy_5=0.088125
INFO:root:Epoch[1] Batch [3250-3500]	Speed: 172.89 samples/sec	accuracy=0.025875	top_k_accuracy_5=0.092125
